Feature,Mean_Absolute_SHAP,Random_Seed,Fold
numeric__day,0.026373073441680342,7,3
numeric__duration,1.016030245546194,7,3
numeric__campaign,0.18868749935070095,7,3
numeric__pdays,0.013768108749127157,7,3
numeric__previous,0.026377653447624716,7,3
categorical__job_admin.,0.042668514987177525,7,3
categorical__job_blue-collar,0.08645598245839338,7,3
categorical__job_entrepreneur,0.0005101327720820189,7,3
categorical__job_housemaid,0.032467551185018394,7,3
categorical__job_management,0.01048857674733523,7,3
categorical__job_retired,0.03563182718469498,7,3
categorical__job_self-employed,0.013959645294392382,7,3
categorical__job_services,0.020973531986677077,7,3
categorical__job_student,0.029115774063617587,7,3
categorical__job_technician,0.03556271077739044,7,3
categorical__job_unemployed,0.0005630414651517364,7,3
categorical__job_unknown,0.00018927545842299738,7,3
categorical__marital_divorced,0.00021070102016498038,7,3
categorical__marital_married,0.0821430967471518,7,3
categorical__marital_single,0.06993552117537802,7,3
categorical__education_primary,0.046002209853048766,7,3
categorical__education_secondary,0.023909777025916713,7,3
categorical__education_tertiary,0.06656202989801659,7,3
categorical__education_unknown,0.005812112389200216,7,3
categorical__default_no,0.000614706562757807,7,3
categorical__default_yes,0.00026154617931736313,7,3
categorical__housing_no,0.1970264233432556,7,3
categorical__housing_yes,0.20055889560483323,7,3
categorical__loan_no,0.0633919441989602,7,3
categorical__loan_yes,0.06494440250747814,7,3
categorical__contact_cellular,0.24688772150299726,7,3
categorical__contact_telephone,0.06428064924253933,7,3
categorical__contact_unknown,0.40054063201698137,7,3
categorical__month_apr,0.013226050553592222,7,3
categorical__month_aug,0.15808951437346846,7,3
categorical__month_dec,0.0038677495971511998,7,3
categorical__month_feb,0.031316190607286964,7,3
categorical__month_jan,0.051329933442402075,7,3
categorical__month_jul,0.2819783535833912,7,3
categorical__month_jun,0.06138476215754325,7,3
categorical__month_mar,0.013253290485779688,7,3
categorical__month_may,0.27449807001981874,7,3
categorical__month_nov,0.11824699670549915,7,3
categorical__month_oct,0.0640165017391806,7,3
categorical__month_sep,0.011639258873086455,7,3
categorical__poutcome_failure,0.12759336632417687,7,3
categorical__poutcome_other,0.023561330811334463,7,3
categorical__poutcome_success,0.1663484854347407,7,3
categorical__poutcome_unknown,0.2684748258778392,7,3
numeric__age,0.0023618351304928054,21,1
numeric__balance,0.03226882754625512,21,1
numeric__day,0.01811324365603033,21,1
numeric__duration,0.9897189422606366,21,1
numeric__campaign,0.21878859753995955,21,1
numeric__pdays,0.021306634696417033,21,1
numeric__previous,0.010546569424346505,21,1
categorical__job_admin.,0.03586169555518847,21,1
categorical__job_blue-collar,0.058969535636273586,21,1
categorical__job_entrepreneur,0.0007753743128145568,21,1
categorical__job_housemaid,0.011785603226554477,21,1
categorical__job_management,0.012771405190822208,21,1
categorical__job_retired,0.07067125182081649,21,1
categorical__job_self-employed,0.03553212525880391,21,1
categorical__job_services,0.020541964698375045,21,1
categorical__job_student,0.019976735286080242,21,1
categorical__job_technician,0.01711586004619629,21,1
categorical__job_unemployed,0.0001440776362533721,21,1
categorical__job_unknown,0.011174319423589995,21,1
categorical__marital_divorced,0.002633589971115563,21,1
categorical__marital_married,0.0748215830995888,21,1
categorical__marital_single,0.06514007042586746,21,1
categorical__education_primary,0.07069792489540978,21,1
categorical__education_secondary,0.03787745764932122,21,1
categorical__education_tertiary,0.060193908540135475,21,1
categorical__education_unknown,0.006906376517390757,21,1
categorical__default_no,0.0009482907402949929,21,1
categorical__default_yes,0.0012904970743260304,21,1
categorical__housing_no,0.20802817083261324,21,1
categorical__housing_yes,0.19588277917166108,21,1
categorical__loan_no,0.09921906177186554,21,1
categorical__loan_yes,0.09209725909448735,21,1
categorical__contact_cellular,0.2351565576541339,21,1
categorical__contact_telephone,0.05808723431525731,21,1
categorical__contact_unknown,0.38111799249512524,21,1
categorical__month_apr,0.0013773154753466028,21,1
categorical__month_aug,0.22298149273617293,21,1
categorical__month_dec,0.00912961406358841,21,1
categorical__month_feb,0.009162208182069103,21,1
categorical__month_jan,0.04841516280510858,21,1
categorical__month_jul,0.35883044181122997,21,1
categorical__month_jun,0.054988364034418466,21,1
categorical__month_mar,0.0523531169149905,21,1
categorical__month_may,0.2506702569315687,21,1
categorical__month_nov,0.17234369884297657,21,1
categorical__month_oct,0.01910894142654582,21,1
categorical__month_sep,0.018913308080330735,21,1
categorical__poutcome_failure,0.13001258450040806,21,1
categorical__poutcome_other,0.030381594764665898,21,1
categorical__poutcome_success,0.05067837786795205,21,1
categorical__poutcome_unknown,0.26021130373391105,21,1
numeric__age,0.006062742959040631,21,2
numeric__balance,0.03000618072063571,21,2
numeric__day,0.01556771361395052,21,2
numeric__duration,0.9967969386483513,21,2
numeric__campaign,0.20235315129453502,21,2
numeric__pdays,0.03830114337490447,21,2
numeric__previous,0.04063882969311719,21,2
categorical__job_admin.,0.040056236952511245,21,2
categorical__job_blue-collar,0.05375566066016286,21,2
categorical__job_entrepreneur,0.022950642647689885,21,2
categorical__job_housemaid,0.022487067837072126,21,2
categorical__job_management,0.02115805972307927,21,2
categorical__job_retired,0.05817431554291258,21,2
categorical__job_self-employed,0.013901120492628571,21,2
categorical__job_services,0.009716504474917585,21,2
categorical__job_student,0.0264171837264708,21,2
categorical__job_technician,0.024553730644646648,21,2
categorical__job_unemployed,0.0039349645410365185,21,2
categorical__job_unknown,0.0007293088999490202,21,2
categorical__marital_divorced,0.01434762100014326,21,2
categorical__marital_married,0.07829868990692015,21,2
categorical__marital_single,0.032515702475966225,21,2
categorical__education_primary,0.08253293064771662,21,2
categorical__education_secondary,0.013273937630937468,21,2
categorical__education_tertiary,0.08158871992860031,21,2
categorical__education_unknown,0.004865329679209349,21,2
categorical__default_no,0.0007979385299382161,21,2
categorical__default_yes,0.00043648747569348953,21,2
categorical__housing_no,0.195585621226096,21,2
categorical__housing_yes,0.20554881873020797,21,2
categorical__loan_no,0.06598198199992233,21,2
categorical__loan_yes,0.07096197430285105,21,2
categorical__contact_cellular,0.2738802409729213,21,2
categorical__contact_telephone,0.051734848756763395,21,2
categorical__contact_unknown,0.4450147526862219,21,2
categorical__month_apr,0.02007509751829049,21,2
categorical__month_aug,0.18052087417735527,21,2
categorical__month_dec,0.007845582770812255,21,2
categorical__month_feb,0.010650233746313256,21,2
categorical__month_jan,0.09192300707111994,21,2
categorical__month_jul,0.22076033813689075,21,2
categorical__month_jun,0.06832882982327361,21,2
categorical__month_mar,0.03694482930638949,21,2
categorical__month_may,0.27906558368827805,21,2
categorical__month_nov,0.18165995680366717,21,2
categorical__month_oct,0.015760496201806515,21,2
categorical__month_sep,0.023451011731115308,21,2
categorical__poutcome_failure,0.12490169156032593,21,2
categorical__poutcome_other,0.04409653347382265,21,2
categorical__poutcome_success,0.13516547846674845,21,2
categorical__poutcome_unknown,0.28051447705027727,21,2
numeric__age,0.00730973437149786,21,3
numeric__balance,0.026498339312965247,21,3
numeric__day,0.011731183432495953,21,3
numeric__duration,0.9685002695591715,21,3
